Customer #,Name,Address,City,ST,Zip,Phone,Category,Custom Category
20262,Biggby #568 Eaton Rapids,1415 S Main St #D,Eaton Rapids,MI,48827,517-441-6096,Milk,MILK
20263,Biggby #571 Jonesville,503 E Chicago St,Jonesville,MI,49250,517-849-2600,Milk,MILK
20703,Biggby #583 Atkinson,4165 Morrish Rd.,Swartz Creek,MI,48473-3080,810 630-6074,Milk,MILK
20704,Biggby #600 Atkinson,2458 S. Center rd.,Burton,MI,48519-3080,810 407-6410,Milk,MILK
20193,Biggby #605 Lansing,6264 S Pennsylvania Ave,Lansing,MI,48911,517-574-4049,Milk,MILK
20194,Biggby #606 Holt,1850 Cedar St,Holt,MI,48842,517-709-3923,Milk,MILK
20185,Biggby #611 Stevensville,4933 Red Arrow Hwy,Stevensville,MI,49127,269 281-0301,Milk,MILK
20222,Biggby #614 Holton Rd KEY 103,1820 Holton Rd.,North Muskegon,MI,49445,231 735-7132,Milk,MILK
20275,Biggby #626 Clinton JMB Mngmnt,124 E Michigan Ave,Clinton,MI,49236,517-701-1212,Milk,MILK
20149,Biggby #635 Perry,2819 Lansing Rd,Perry,MI,48872,517-697-0990,Milk,MILK
20086,Biggby #655 Niles,2518 S 11th St.,Niles,MI,49120,269 423-2892,Milk,MILK
20272,Biggby #660 Jackson L&R Espres,1220 W Parnall,Jackson,MI,49201,517-395-4144,Milk,MILK
20199,Biggby #663 Jackson,1308 McDevitt,Jackson,MI,49203,517-414-7525,Milk,MILK
20266,Biggby #671 US 31 T.C.,4041 US 31 S,Traverse City,MI,49685,231-486-6179,Milk,MILK
20811,Biggby #682 - Coloma,6577 Paw Paw Ave,Coloma,MI,49038,616-490-2928,Milk,MILK
20264,Biggby #689 Ithaca,1244 E Center St,Ithaca,MI,48847,989-388-0007,Milk,MILK
20158,Biggby #692 Newaygo,176 W River Valley Drive,Newaygo,MI,49337,616-835-6855,Milk,MILK
20152,Biggby #693 Manistee,15 Caberfae Hwy,Manistee,MI,49660,231 425-4725,Milk,MILK
20701,Biggby #702 Atkinson,367 Lake Nepessing,Lapeer,MI,48446-1428,810 660-7612,Milk,MILK
20809,Biggby #705 Clare,10459 S Clare Ave,Clare,MI,48617,989-424-6244,Milk,MILK
20113,Biggby #708 Belding,9299 E Belding,Belding,MI,48809,616-244-3273,Milk,MILK
20273,Biggby #710 Leslie L&R Express,0 Bellevue,Leslie,MI,49251,,Milk,MILK
20137,Biggby #711 Cedar Springs,14111 White Creek Ave NE,Cedar Springs,MI,49319,231-375-8597,Milk,MILK
20139,Biggby #712 Owosso,1302 W. Main St,Owosso,MI,48867,989-720-5282,Milk,MILK
20267,Biggby #714 S Airport Rd T.C.,1100 W South Airport Rd,Traverse City,MI,49686,517-802-9890,Milk,MILK
20115,Biggby #773 Plainwell,1307 M-89 E,Plainwell,MI,49080,,Milk,MILK
20087,Biggby #783 Dowagiac,202 W. Prairie Ronde St.,Dowagiac,MI,49047,269 423-2892,Milk,MILK
20700,Biggby #774 Atkinson,3522 S. Lapeer Rd.,Metamora,MI,48455-1428,810 212-1066,Milk,MILK
20131,Biggby #778 Bridgman,10500 Red Arrow Hwy,Bridgman,MI,49106,269 930-1162,Milk,MILK
20649,Biggby #782 Berrien Springs,201 West Mars St.,Berrien Springs,MI,49103,269-473-6001,Milk,MILK
20087,Biggby #783 Dowagiac,202 W. Prairie Ronde St.,Dowagiac,MI,49047,269 423-2892,Milk,MILK
20274,Biggby #785 Jackson L&R Expres,1002 Cooper St,Jackson,MI,49202,517-315-4061,Milk,MILK
20189,Biggby #816 Hart,4220 W. Polk Rd,Hart,MI,49441,,Milk,MILK
20806,Biggby #817  Bhappy LLC,11858 Northland Dr NE,Rockford,MI,49341,616-439-3012,Milk,MILK
20269,Biggby #818 Lake City,5782 W Houghton Lake Rd,Lake City,MI,49651,231-295-1093,Milk,MILK
20172,Biggby #854 Cadillac,201 Teridee Blvd  Ste D,Cadillac,MI,49601-3080,616-481-3229,Milk,MILK
20634,Biggby #859 ABM,2250 Lake Lansing Rd Ste E,East Lansing,MI,48912,517-708-8618,Milk,MILK
21363,Bird Farm Meats Inc.,7237 104th Street,Howard City,MI,49329-2206,616 799-5616,Milk,MILK
21354,Black Bird Ice Cream,2902 Middleton Rd,Prescott,MI,48756-6610,989 343-1341,Sells Ice Cream,SELLS ICE CREAM
21472,Bliss Ice Cream,25380 Van Born Rd,Dearborn Heights,MI,48125-4308,248-378-6813,Serves Soft Serve,SERVES SOFT SERVE
21370,Blondie's Sweet Spot,125 N Otsego Avenue,Gaylord,MI,49735,989-470-9513,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
21478,Blue Lake Fine Arts Camp,300 E. Crystal Lake Rd,Twin Lake,MI,49547-4525,231 894-1966,Milk,MILK
21486,Blue Moon,9032 Kasson St,Cedar,MI,49621-1818,231 866-0536,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
21488,Blue Moon Ovid,9448 East M-21,Ovid,MI,48866-1320,517-712-6297,Serves Soft Serve,SERVES SOFT SERVE
21528,Bob's CountryStore,2103 Horton Rd,Jackson,MI,49203-1818,517 789-6500,"Sells Ice Cream, Milk","SELLS ICE CREAM, MILK"
21523,Bob-A-Lu Market,10010 Werth Road,Herron,MI,49744,989-727-2090,Milk,MILK
21563,Bombshell Treat bar,2688 Coolidge Hwy,Berkley,MI,48220-3080,248 930-6669,Serves Soft Serve,SERVES SOFT SERVE
21553,Borculo Express,6210 96th Ave,Zeeland,MI,49464-2902,616 875-8000,Milk,MILK
21558,"Borders Corner Store, Inc",7024 E. Pickard,Mt Pleasant,MI,48858-1818,989 772-4929,Milk,MILK
21552,Borland Gas and Grocery,4981 Northland Dr.,Morley,MI,49336-2902,231 856-8889,Milk,MILK
22420,Bouncing All Around,1805 E 11 Mile Rd.,Madison Heights,MI,48071-3080,586 745-4996,Serves Soft Serve,SERVES SOFT SERVE
22426,Bowerman's Downtown 8th Ave,4 E 8TH ST,Holland,MI,49423-4308,616 738-3099,Milk,MILK
22425,Bowerman Farm Market,15793 James St,Holland,MI,49424-4308,616 399-0567,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
20352,Boyne Marathon,470 N Lake Street,Boyne City,MI,49712-2206,231 582-3605,Milk,MILK
130622,BP - MK11,1607 E McKinley,Mishawaka,IN,46545,574-225-4633,Milk,MILK
130628,BP - Noor Empire,14981 SR-23,Granger,IN,46530,574-243-1104,Milk,MILK
130624,BP - RL19,3627 McKinley Ave,South Bend,IN,46615,574-287-9926,Milk,MILK
130631,BP - SB21,72025 SR 15,New Paris,IN,46553,574-658-4854,Milk,MILK
20374,BP Hoosier To Go,6595 Albert S White Dr,Whitestown,IN,46075,317-209-5369,Milk,MILK
20153,Branch Grocery Store,9455 E US 10,Branch,MI,49402-2902,231 898-4626,"Sells Ice Cream, Milk, Serves Ice Cream, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
100792,Bricks At Campau Corner,6785 Whitneyville Road,Alto,MI,49302-4308,616 868-6845,Serves Soft Serve,SERVES SOFT SERVE
20114,Bridge St. Market CD Milk 660,613 Bridge St. NW,Grand Rapids,MI,49504-9738,,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
20205,Bridge Street Market,613 Bridge St. NW,Grand Rapids,MI,49504-2206,,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
20201,Brinks Ice Cream Exprs(KEY #86,137 E. Main,Caledonia,MI,49316-4308,616 891-1301,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
22295,Broadmoor Convenience Store,6773 Broadmoor Ave.,Caledonia,MI,49316-2902,616 512-4963,Milk,MILK
22452,Brookside Disc Grocery,3701 West 72nd St,Newaygo,MI,49337-2206,231 924-9118,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
22753,Bubble Shack LLC,209 E. Walled Lake Dr,Walled Lake,MI,48390-4308,248 904-2716,Serves Soft Serve,SERVES SOFT SERVE
22760,Buchan's Blueberry Hill,1472 Nelson Rd,Traverse City,MI,49686-1818,231 649-0844,Serves Soft Serve,SERVES SOFT SERVE
22724,Buchan's West Bay,13000 S West Bay Shore Dr,Traverse City,MI,49684-1818,231 649-0844,Serves Soft Serve,SERVES SOFT SERVE
22761,Buk's Party Store,106 N Main St,Ovid,MI,48866-1818,989 834-5803,Milk,MILK
20197,Buoy 18,960 E. Midland St,Bay City,MI,48706-1428,989 274-7041,Milk,MILK
22759,Burlingame Dip,3555 Burlingame SW,Wyoming,MI,49509-4308,609 816-2574,Serves Soft Serve,SERVES SOFT SERVE
20720,Burton Meat Farm,435 Burton SW,Grand Rapids,MI,49507-2902,616 243-7018,Milk,MILK
20714,Busy Bee market,10747 M-32 East,Johannesburg,MI,48791-6610,989 732-5556,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
31726,C-Store Portage,1800 W Milham Ave,Portage,MI,49024,269-965-4430,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
30671,Cabanas,512 Broad Street,St Joseph,MI,49085-4308,269 277-1553,Sells Ice Cream,SELLS ICE CREAM
10115,Cafecito Caliente,314 E. Cesar Chavez Ave.,Lansing,MI,48906-4308,517 303-7001,Serves Soft Serve,SERVES SOFT SERVE
31854,Cairn's Country Cones (KEY #25,1230 Greenville Rd,Stanton,MI,48888-4308,989 304-1839,Serves Soft Serve,SERVES SOFT SERVE
31593,Camp AO-WA-KIYA,8401 W. Thomas,Shelby,MI,49455-4525,231 861-2466,"Sells Ice Cream, Milk","SELLS ICE CREAM, MILK"
31596,Camp Henry,5575 S Gordon Ave,Newaygo,MI,49337,616-717-5568,Sells Ice Cream,SELLS ICE CREAM
30126,Cannonsburg Grist Mill,8000 Cannonsburg Road,Cannonsburg,MI,49317-2902,616 874-6200,Milk,MILK
30121,Capital City Sweets LLC,3112 E Michigan Avenue,Lansing,MI,48912,517-296-6997,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
31685,Captain Custard,211 S. Harbor Drive,Grand Haven,MI,49417-4308,616 502-3222,Serves Soft Serve,SERVES SOFT SERVE
32493,Carp Lake General Store,6420 E Gill Rd,Carp Lake,MI,49718-1818,231 218-8881,Milk,MILK
131875,Carsonville Dairy,4155 Snover Rd,Carsonville,MI,48419,810-376-6006,Milk,MILK
30177,Cascades Ice Cream Co,1800 S. Brown St,Jackson,MI,49203-1320,517 499-6617,Serves Soft Serve,SERVES SOFT SERVE
30116,Caseville Family Market,6730 Main Street,Caseville,MI,48725-9725,989 856-2802,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
30118,Caseville Mkt IC,6730 Main Street,Caseville,MI,48725-9725,989 856-2802,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
42000,Cash & Carry,5850 Balsam Dr.,Hudsonville,MI,49426-0066,000 0000000,"Sells Ice Cream, Milk, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES SOFT SERVE"
31250,Cass City Liquor Store LLC,6614 Main St,Cass City,MI,48726-1428,989-872-4600,Milk,MILK
31036,Cathy's Homemade Goodies,30910 Harper,St Clair Shores,MI,48082-4308,586-242-0455,Serves Soft Serve,SERVES SOFT SERVE
30095,CB Trading Post,6457 S Croton Hardy Dr,Newaygo,MI,49337-2902,231 652-2250,"Milk, Serves Ice Cream, Serves Soft Serve","MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
31720,Cedar Lake Grocery,3448 N US 23,Greenbush,MI,48738-6610,989 739-9812,Milk,MILK
30162,Chapbook Cafe-Schuler's GR,2660 28th St,Grand Rapids,MI,49512,616-942-0595,Milk,MILK
30164,Chapbook Cafe-Schuler's Okemos,1982 W Grand River Ave,Okemos,MI,48823,(517) 349-7326,Milk,MILK
30161,Chappel Dam Grocery,4001 Pratt Lake Road,Gladwin,MI,48624-1428,989 274-3759,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
30167,Charley's Ice Cream,14680 Lincoln Lake Ave,Gowen,MI,49326-4308,616 401-4394,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
30080,Cheema Pump & Pantry,2110 Evanston,Muskegon,MI,49442-2902,231-760-7141,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
32533,Cherri's Chocol'Art LLC KEY#32,101 S. Kalamazoo Mall,Kalamazoo,MI,49007-4308,269 998-7339,Sells Ice Cream,SELLS ICE CREAM
32528,Cherry Hill Supermarket,424 N. State St.,Shelby,MI,49455-9738,231 861-4076,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
32534,Cherry Republic,9896 W. Fisher St.,Empire,MI,49630-1818,,Serves Soft Serve,SERVES SOFT SERVE
30173,Chicken Express,3478 Calkins Rd,Flint,MI,48532,810-259-2556,Serves Soft Serve,SERVES SOFT SERVE
30975,Chill'N Parrot,2250 East Main,Owosso,MI,48867,989-277-7383,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
30971,Chillz Delights (KEY #119),902 SR 114 W,N Manchester,IN,46962-4308,260 982-9373,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
30676,Chillz Fort Wayne,5930A West Jefferson Blvd,Fort Wayne,IN,46962,260-578-8878,Milk,MILK
30977,Choco Mania Cafe-Birmingham,280 E Merrill St,Birmingham,MI,48009,586-804-1955,Serves Soft Serve,SERVES SOFT SERVE
30970,Choco Mania Cafe,44621 Mound Rd,Sterling Heights,MI,48314,586-804-1955,Serves Soft Serve,SERVES SOFT SERVE
30972,Chocolate Moose,116 E Bridge,Portland,MI,48875-1320,734 787-0514,Serves Soft Serve,SERVES SOFT SERVE
30109,Christos Family Dining,2227 North Michigan St,Plymouth,IN,46563,574-935-5100,Sells Ice Cream,SELLS ICE CREAM
32509,Cindy's Donuts And Ice Cream,4020 28th Street SE,Kentwood,MI,49512-4308,616 2598295,Milk,MILK
130621,Citgo - TEJ28,1033 N Bendix Dr,South Bend,IN,46628,574-931-2153,Milk,MILK
32890,Citgo Sunrise Travel Center,5665 N US 23,Oscoda,MI,48750-6610,989 739-0700,Milk,MILK
20344,Clarksville Feed Store,401 S. Main Street,Clarksville,MI,48815-1818,616 427-5196,Serves Ice Cream,SERVES ICE CREAM
30731,Clear Lake Party Store,2224 Clear Lake,West Branch,MI,48661-2902,989 345-5193,Sells Ice Cream,SELLS ICE CREAM
30733,Clem's Market,1196 Shetter Rd,Muskegon,MI,49444-2902,231 375-8162,Milk,MILK
30810,Cobb's Cones LLC,JKC State Park,Traverse City,MI,49685-1818,231-735-4020,Serves Soft Serve,SERVES SOFT SERVE
30815,CoCoJo's A Zoomers RV Resort,4115 S 700 E,Lagro,IN,46941,260-571-6884,Sells Ice Cream,SELLS ICE CREAM
30822,Coffee & Toffee,47053 Hayes Road,Shelby Township,MI,48315-1428,586 580-2953,Sells Ice Cream,SELLS ICE CREAM
30819,Colby's Cafe & Brew LLC,3311 E Colby St  Ste A,Whitehall,MI,49461-2902,231 894-0140,Milk,MILK
30817,Coley Central Vending,1205 North Fancher Ave,Mt Pleasant,MI,48858-1818,810 241-2739,Milk,MILK
30246,Coloma Dairy Corner,141 East Saint Joseph St,Coloma,MI,49038,630-487-1404,Serves Soft Serve,SERVES SOFT SERVE
70206,Cone Corral,509 Arlington,Middleville,MI,49333-4308,616 914-0972,Serves Soft Serve,SERVES SOFT SERVE
30284,Cone Lickers,6184 E M-115 Suite 114,Cadillac,MI,49601,616 460-8652,Milk,MILK
30285,Cone Palace,55 W 300 S,Kokomo,IN,46902,765-453-4470,Serves Soft Serve,SERVES SOFT SERVE
30215,Cone Zone,300 N. Water St,Owosso,MI,48867-6610,989 666-3932,Milk,MILK
30211,Coney Cone,8145 Rapid City Rd NW,Rapid City,MI,49676,231-331-6792,Milk,MILK
30216,Coneyland  (KEY #106 ),1960 Whitehall Rd,Muskegon,MI,49441-4308,231 557-1690,Serves Soft Serve,SERVES SOFT SERVE
190152,Conlee Oil - #8,12018 Liberty St.,Clio,MI,48420-1428,810 686-2033,Milk,MILK
30252,Conlee Oil - Birch Run,9180 Birch Run Rd.,Birch Run,MI,48415-1428,989-624-5941,Milk,MILK
30251,Conlee Oil - Clio,4514 W Viena R.,Clio,MI,48420-1428,810 687-6230,Milk,MILK
30256,Conlee Oil - Downtown Clio,815 S. Mill St.,Clio,MI,48420-1428,810 685-5600,Milk,MILK
30253,Conlee Oil - Frankenmuth,1015 S. Main St.,Frankenmuth,MI,48734-1428,810 685-5600,Milk,MILK
30255,Conlee Oil - Montrose,110 State Rd.,Montrose,MI,48457-1428,810 685-5600,Milk,MILK
30254,Conlee Oil - Otisville,213 North State Rd.,Otisville,MI,48463-1428,810 685-5600,Milk,MILK
30395,Converse Big Dipper,104 S Jefferson St,Converse,IN,46919,765-395-1331,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
30416,Cookies 'n Cream LLC,"1025 W Main St, Suite 1051",Fremont,MI,49412,231-769-6278,Serves Soft Serve,SERVES SOFT SERVE
30414,Cookies & Cream,20 Front St,Lake Orion,MI,48362-1428,248 475-2256,Sells Ice Cream,SELLS ICE CREAM
32564,Coopersville Creamery,303 Main Street,Coopersville,MI,49404,517-290-4947,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
32563,Copemish Kitchen & Coffee,18571 Cadillac Hwy,Copemish,MI,49625,231-434-9923,Sells Ice Cream,SELLS ICE CREAM
30830,Cops & Robbers - Birch Run,"12158 S Beyer Rd, Ste V009B",Birch Run,MI,48433,317-201-8806,"Sells Ice Cream, Milk, Serves Ice Cream, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
30827,Cops And Robbers - Paddy Wagon,5154 Flushing Rd,Flushing,MI,48433-4308,810 202-1001,"Sells Ice Cream, Serves Ice Cream","SELLS ICE CREAM, SERVES ICE CREAM"
30824,Cops And Robbers -Great Escape,5154 Flushing Rd,Flushing,MI,48433-4308,810 202-1001,"Sells Ice Cream, Milk, Serves Ice Cream, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
30826,Cops and Robbers,323 E Main Street,Flushing,MI,48433-4308,810 202-1001,"Sells Ice Cream, Milk, Serves Ice Cream, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
30825,Cops And Robbers Caboose,287 E State St,Montrose,MI,48457-6610,810 202-1001,"Sells Ice Cream, Milk, Serves Ice Cream, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
30991,Corner House,1280 N. M-18,Gladwin,MI,48624-6610,989 329-2094,Milk,MILK
31005,Corner Stop Ice Cream (KEY #89,11998 Fulton Street,Lowell,MI,49331-4308,616 490-3033,Serves Soft Serve,SERVES SOFT SERVE
31051,Cosmic Candy Company,168 S. Hancock St,Pentwater,MI,49449-9613,616 293-4859,Sells Ice Cream,SELLS ICE CREAM
31053,Cotants Farm Market (KEY #69 ),2500 South M-37,Hastings,MI,49058-4308,269 945-4180,Serves Soft Serve,SERVES SOFT SERVE
31054,Cottage Creamery,5317 N. Saginaw Rd,Midland,MI,48640-6610,989 615-1915,Serves Soft Serve,SERVES SOFT SERVE
31162,Country Corner Ice Cream,2020 N. Mission Rd,Mt Pleasant,MI,48858-1818,989 433-8200,Milk,MILK
31161,Country Corner Market,2020 N. Mission Rd,Mt Pleasant,MI,48858-1818,989 433-8200,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
31614,Country Dairy,3476 80th Ave,New Era,MI,49446-0066,800 2437280,"Sells Ice Cream, Milk, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES SOFT SERVE"
31615,Country Dairy Farm Store Inc.,3476 80th Ave,New Era,MI,49446-0066,800 2437280,"Sells Ice Cream, Milk, Serves Ice Cream, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
30181,Country Market,2236 Imlay City Rd,Lapeer,MI,48446-2902,810 664-2240,Milk,MILK
31163,Country Store,1101 E. State,St Johns,MI,48879-1818,989 224-6868,Milk,MILK
30210,Country Sundae LLC,6481 28th Ave,Hudsonville,MI,49426-4308,616 481-6969,Serves Soft Serve,SERVES SOFT SERVE
30179,County Fair Market,22828 DeQuindre,Warren,MI,48091-2902,586 755-7630,Milk,MILK
31055,County Fair Store,415 W Main St,Hale,MI,48739,989-728-7631,Milk,MILK
31672,Covert Park Beach  & Campgrnd,80559 32nd Ave,Covert,MI,49043-4525,269-764-1421,Milk,MILK
31676,Covert/South Haven KOA,39397 M-140 Hwy,Covert,MI,49043-4525,269 764-0818,Milk,MILK
31677,Cow Licks L.  Farm (KEY #91 ),6051 Belding Dr,Rockford,MI,49341-4308,616 822-0101,Serves Soft Serve,SERVES SOFT SERVE
30681,Creative Dining-Kettering Univ,1700 University Ave,Flint,MI,48504-9725,989 284-9912,Milk,MILK
30673,Creative Dining - Commons,1835 Knollcrest Circle,Grand Rapids,MI,49546-3080,616-526-6939,Serves Soft Serve,SERVES SOFT SERVE
30684,Creative Dining -MSU FCU HQ1,3777 West Road,East Lansing,MI,48823,517-490-4192,Milk,MILK
30680,Creative Dining AO South,619 S Campus Dr,Lansing,MI,48917-1818,517 712-7132,Milk,MILK
30677,Creative Dining Serv-Auto,6101 Ana Capri Blvd,Lansing,MI,48917-1818,517 323-1495,Milk,MILK
30678,Creative Dining Serv-Farm Bur,7373 West Saginaw Hwy,Lansing,MI,48917-1818,517 323-6602,Milk,MILK
30679,Creative Dining Serv-Jackson,1 Corporate Way  (JACKSON N),Lansing,MI,48951-1818,517 367-4496,Milk,MILK
31158,Crossroads Blueberry Market,14315 Lake Michigan Dr,West Olive,MI,49460-0066,616 638-8256,Serves Soft Serve,SERVES SOFT SERVE
31157,Crossroads Market,800 S. Chipman,Owosso,MI,48867-2206,989 2776665,Milk,MILK
31392,Curley Cone Hastings (KEY #85),505 West Apple,Hastings,MI,49058-4308,312 961-8657,Serves Soft Serve,SERVES SOFT SERVE
31391,Curley Cone Wayland,12854 M-79 Hwy,Wayland,MI,49348-4308,269-225-9459,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
31390,Currie's BP,620 Maple,Big Rapids,MI,49307-2902,231 796-5351,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
32578,Custard By The Dam ( KEY #80 ),25 Squires Street,Rockford,MI,49341-4308,616 350-4391,Milk,MILK
40085,CV Kwik Mart LLC,3038 N Kings Highway,Luther,MI,49656-2902,231 797-5411,Milk,MILK
42674,D Ave Fuel Plaza,5118 West D Ave,Kalamazoo,MI,49001-2902,269 383-4434,Milk,MILK
40127,D&W 1591 Knapp Milk,2022 Apple Orchard Ave. NE,Grand Rapids,MI,49525-2206,616 3612872,Milk,MILK
42003,Daily Deals,740 Lamoreaux Dr,Comstock Park,MI,49321,616-419-3893,Milk,MILK
42004,Daily Deals,5487 Division Ave,Grand Rapids,MI,49458,616-323-1200,Milk,MILK
42006,Daily Deals,300 S Greenville W Dr,Greenville,MI,48838,616-248-5330,Milk,MILK
42007,Daily Deals,4965 Lake Michigan Dr,Allendale,MI,49401,312-618-5002,Milk,MILK
42009,Daily Deals,1755 E Sherman Blvd,Muskegon,MI,49444,,Milk,MILK
40234,Dairy Ace,124 WEST 8th Street,Mio,MI,48647-1818,989 826-3000,Serves Soft Serve,SERVES SOFT SERVE
40208,Dairy Dan,7035 S. Cedar,Lansing,MI,48933-4308,517 202-6710,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
40228,Dairy Dayz (KEY # 45 ),6473 Blue Star Hwy,Saugatuck,MI,49451-4308,616 218-5742,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
40214,Dairy De-Lite ( KEY #77 ),3950 West River Dr,Comstock Park,MI,49321-4308,616 485-7995,Serves Soft Serve,SERVES SOFT SERVE
40211,Dairy Depot,534 S Chestnut St,Reed City,MI,49677-4308,231 832-5854,Serves Soft Serve,SERVES SOFT SERVE
40202,Dairy Dip-Sandy Pines(KEY #65),2745 - 136th Ave,Hopkins,MI,49328-4308,616-896-8315,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
40210,Dairy Firm (KRAFT),12095 E Curtis Rd,Frankenmuth,MI,48734-6610,989 798-2478,Serves Soft Serve,SERVES SOFT SERVE
40207,Dairy Hill,601 E. Ash,Mason,MI,48854-4308,517 676-4193,Serves Soft Serve,SERVES SOFT SERVE
41335,Dairy Phil,1131 N Mcewan St,Clare,MI,48617-6610,989 802-0755,"Sells Ice Cream, Milk, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES SOFT SERVE"
41600,Dairy Ranch (KEY #38 ),1717 142nd Ave,Dorr,MI,49323-4308,616 681-9732,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
41606,Dairy Treat - GH,218 S. Harbor,Grand Haven,MI,49417-4308,616 846-2470,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
41605,Dairy Twist Cafe,2660 Benstein Rd,Walled Lake,MI,48390-4308,248 470-4402,Sells Ice Cream,SELLS ICE CREAM
41609,Dairy Zone,2264 M-119,Petoskey,MI,49770-4308,231 330-0970,Serves Soft Serve,SERVES SOFT SERVE
40226,Dalzell Dairy,403 N St. Joseph St,Suttons Bay,MI,49682,269-788-2296,Milk,MILK
41470,Danny's Diner,422 S. Main St,Middlebury,IN,46540,574 825-2565,Serves Soft Serve,SERVES SOFT SERVE
41468,Dansville Gas and More,978 Jackson St,Dansville,MI,48819-2902,646 824-1289,Milk,MILK
40242,Dave's Party Store,408 Wood St,Hart,MI,49420-2902,231 8732620,Milk,MILK
41860,De Vor Dairy Farm & Creamery,5436 Tyler Rd SE,Kalkaska,MI,49646-6610,586 854-6255,Serves Soft Serve,SERVES SOFT SERVE
41434,Deangelos Pizzeria (KEY #113),94 S Emmons St,Denver,IN,46926,765 985-3126,Serves Soft Serve,SERVES SOFT SERVE
41450,DeGrandchamp Farms,76241 14th Ave,South Haven,MI,49090-4308,269 637-3915,"Sells Ice Cream, Milk, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES SOFT SERVE"
41451,Delski's Meats,1760 44th Street Southwest,Wyoming,MI,49519,616-301-6949,Milk,MILK
41800,Derminer's Parkside Market,7131 OLD 27,Gaylord,MI,49735-6610,989 705-7051,Milk,MILK
41823,Des Cakes and Ice Cream,49 N Bridge St,Saranac,MI,48881-4525,616-514-7288,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
41853,Detroit Cookie Co. - East,25600 Harper Ave.,St Clair Shores,MI,48081-4308,586 435-6937,Milk,MILK
41837,Detroit Cookie Co. - Ferndale,23421 Woodward Ave.,Ferndale,MI,48220,734 277-4122,Milk,MILK
41838,Detroit Scoops,2392 Orchard Ln,White Lake,MI,48386,586-876-6976,Serves Soft Serve,SERVES SOFT SERVE
70507,DeWitt Golf Center,11890  US 27,DeWitt,MI,48820-1320,517 669-9829,Serves Soft Serve,SERVES SOFT SERVE
200668,Dewitt Party Store,129 S Bridge Street,DeWitt,MI,48820-1818,517 669-6745,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
40086,"Diesel Man, Inc",4647 W Columbia Ave,Battle Creek,MI,49015,347-653-4151,Milk,MILK
41109,DJ's Bakery,3031 Packard St,Ann Arbor,MI,48108-4308,734 369-2068,Milk,MILK
